gid,latitude,longitude,google_maps_link,vacancy_score,vacancy_subscore,vacancy_subscore_v1,road_subscore,healthcare_subscore,education_subscore,lifestyle_subscore,essential_services_subscore,urban_percentage,water_percentage,other_percentage,healthcare_count_1km,education_count_1km,lifestyle_count_1km
2883,17.33508558092352,78.14881450068607,"https://www.google.com/maps?q=17.335086,78.148815",100.0,100.0,20.1,65.0,59.27,0.0,29.71,0.0,0.0,0.0,0.0,0,0,0
2884,17.337947455499858,78.14877027787438,"https://www.google.com/maps?q=17.337947,78.148770",100.0,100.0,11.59,61.97,58.03,0.0,29.64,0.0,0.0,0.0,0.0,0,0,0
2885,17.34080932914966,78.1487260466157,"https://www.google.com/maps?q=17.340809,78.148726",100.0,100.0,10.48,59.76,56.77,0.0,29.55,0.0,0.0,0.0,0.0,0,0,0
2886,17.343671201872766,78.14868180690937,"https://www.google.com/maps?q=17.343671,78.148682",100.0,100.0,12.7,58.47,55.49,0.0,29.43,0.0,0.0,0.0,0.0,0,0,0
2887,17.346533073669058,78.14863755875483,"https://www.google.com/maps?q=17.346533,78.148638",100.0,100.0,3.82,57.81,54.19,0.0,29.29,0.0,0.0,0.0,0.0,0,0,0
2888,17.34939494453838,78.14859330215144,"https://www.google.com/maps?q=17.349395,78.148593",100.0,100.0,5.67,55.37,52.88,0.0,29.13,0.0,0.0,0.0,0.0,0,0,0
2889,17.35225681448059,78.14854903709863,"https://www.google.com/maps?q=17.352257,78.148549",100.0,100.0,9.12,54.47,51.56,0.0,28.94,0.0,0.0,0.0,0.0,0,0,0
2890,17.355118683495547,78.14850476359577,"https://www.google.com/maps?q=17.355119,78.148505",100.0,100.0,11.96,53.2,50.24,0.0,28.73,0.0,0.0,0.0,0.0,0,0,0
2891,17.35798055158313,78.14846048164222,"https://www.google.com/maps?q=17.357981,78.148460",100.0,100.0,11.84,56.72,48.91,0.0,28.51,0.0,0.0,0.0,0.0,0,0,0
2892,17.36084241874317,78.14841619123742,"https://www.google.com/maps?q=17.360842,78.148416",100.0,100.0,10.48,58.19,47.57,0.0,28.26,0.0,0.0,0.0,0.0,0,0,0
2893,17.363704284975547,78.1483718923807,"https://www.google.com/maps?q=17.363704,78.148372",100.0,100.0,6.41,58.34,46.23,0.0,27.99,0.0,0.0,0.0,0.0,0,0,0
2894,17.36656615028012,78.1483275850715,"https://www.google.com/maps?q=17.366566,78.148328",100.0,100.0,5.3,59.2,44.89,0.0,27.7,0.0,0.0,0.0,0.0,0,0,0
2895,17.369428014656748,78.1482832693092,"https://www.google.com/maps?q=17.369428,78.148283",100.0,100.0,11.34,58.09,43.55,0.0,27.39,0.0,0.0,0.0,0.0,0,0,0
2896,17.37228987810528,78.1482389450932,"https://www.google.com/maps?q=17.372290,78.148239",100.0,100.0,7.52,60.31,42.2,0.0,27.06,0.0,0.0,0.0,0.0,0,0,0
2897,17.375151740625586,78.14819461242283,"https://www.google.com/maps?q=17.375152,78.148195",100.0,100.0,21.09,61.15,40.85,0.0,26.71,0.0,0.0,0.0,0.0,0,0,0
